n,value1,time1,value2,time2,value3,time3,averageTime
100,2202,4,2202,1,2202,3,2.666667
101,2202,1,2202,3,2202,1,1.666667
102,2202,1,2202,1,2202,1,1.000000
103,2202,1,2202,2,2202,1,1.333333
104,2202,1,2202,1,2202,1,1.000000
105,2202,1,2202,1,2202,1,1.000000
106,2202,2,2202,1,2202,1,1.333333
107,2202,1,2202,1,2202,1,1.000000
108,2202,1,2202,0,2202,1,0.666667
109,2202,0,2202,1,2202,1,0.666667
110,2202,0,2202,1,2202,1,0.666667
111,2202,0,2202,1,2202,1,0.666667
112,2202,0,2202,1,2202,1,0.666667
113,2202,1,2202,0,2202,1,0.666667
114,2202,0,2202,1,2202,1,0.666667
115,2202,0,2202,1,2202,1,0.666667
116,2202,1,2202,0,2202,1,0.666667
117,2202,1,2202,0,2202,1,0.666667
118,2202,1,2202,0,2202,1,0.666667
119,2479,1,2479,1,2479,0,0.666667
120,2479,1,2479,1,2479,2,1.333333
121,2694,1,2694,1,2694,1,1.000000
122,2694,1,2694,1,2694,2,1.333333
123,2694,1,2694,1,2694,1,1.000000
124,2694,1,2694,1,2694,2,1.333333
125,2694,1,2694,1,2694,2,1.333333
126,2694,1,2694,1,2694,1,1.000000
127,2694,2,2694,1,2694,1,1.333333
128,2694,1,2694,2,2694,1,1.333333
129,2694,2,2694,1,2694,1,1.333333
130,2694,1,2694,2,2694,1,1.333333
131,2694,1,2694,2,2694,1,1.333333
132,2694,1,2694,1,2694,2,1.333333
133,2694,1,2694,1,2694,2,1.333333
134,2694,1,2694,1,2694,1,1.000000
135,2694,2,2694,1,2694,2,1.666667
136,2694,1,2694,2,2694,1,1.333333
137,2694,2,2694,1,2694,2,1.666667
138,2694,1,2694,1,2694,1,1.000000
139,2694,2,2694,1,2694,1,1.333333
140,2694,2,2694,1,2694,1,1.333333
141,2759,2,2759,1,2759,2,1.666667
142,2759,1,2759,2,2759,1,1.333333
143,2759,2,2759,1,2759,2,1.666667
144,2759,1,2759,2,2759,2,1.666667
145,2759,1,2759,1,2759,2,1.333333
146,2759,1,2759,2,2759,2,1.666667
147,2759,1,2759,2,2759,1,1.333333
148,2759,2,2759,2,2759,1,1.666667
149,2759,2,2759,2,2759,1,1.666667
150,2759,2,2759,2,2759,1,1.666667
151,2759,2,2759,1,2759,2,1.666667
152,2759,1,2759,1,2759,2,1.333333
153,2759,2,2759,2,2759,1,1.666667
154,2759,2,2759,2,2759,2,2.000000
155,2759,2,2759,1,2759,2,1.666667
156,2759,1,2759,2,2759,1,1.333333
157,2759,2,2759,1,2759,2,1.666667
158,2759,1,2759,2,2759,2,1.666667
159,2759,1,2759,1,2759,2,1.333333
160,2759,1,2759,2,2759,1,1.333333
161,2759,2,2759,1,2759,2,1.666667
162,2759,1,2759,2,2759,1,1.333333
163,2759,2,2759,1,2759,2,1.666667
164,2759,1,2759,2,2759,1,1.333333
165,2759,2,2759,2,2759,1,1.666667
166,2759,2,2759,2,2759,1,1.666667
167,2759,2,2759,1,2759,2,1.666667
168,2759,1,2759,2,2759,1,1.333333
169,2957,2,2957,2,2957,1,1.666667
170,2957,2,2957,2,2957,1,1.666667
171,2957,2,2957,1,2957,2,1.666667
172,2957,2,2957,1,2957,2,1.666667
173,2957,1,2957,2,2957,2,1.666667
174,2957,1,2957,2,2957,2,1.666667
175,2957,1,2957,2,2957,2,1.666667
176,2957,1,2957,2,2957,1,1.333333
177,2957,2,2957,2,2957,2,2.000000
178,2957,1,2957,1,2957,2,1.333333
179,2957,1,2957,2,2957,2,1.666667
180,2957,1,2957,2,2957,2,1.666667
181,2957,2,2957,2,2957,1,1.666667
182,2957,2,2957,2,2957,2,2.000000
183,3012,1,3012,2,3012,2,1.666667
184,3012,2,3012,2,3012,1,1.666667
185,3012,2,3012,2,3012,2,2.000000
186,3012,1,3012,2,3012,2,1.666667
187,3012,2,3012,2,3012,2,2.000000
188,3012,1,3012,2,3012,2,1.666667
189,3012,2,3012,2,3012,1,1.666667
190,3012,2,3012,2,3012,2,2.000000
191,3012,2,3012,2,3012,1,1.666667
192,3012,3,3012,2,3012,1,2.000000
193,3012,2,3012,2,3012,2,2.000000
194,3012,2,3012,2,3012,2,2.000000
195,3012,2,3012,2,3012,1,1.666667
196,3012,2,3012,2,3012,2,2.000000
197,3012,2,3012,2,3012,2,2.000000
198,3012,2,3012,2,3012,2,2.000000
199,3012,2,3012,1,3012,2,1.666667
200,3012,2,3012,2,3012,3,2.333333
201,3012,2,3012,1,3012,2,1.666667
202,3012,2,3012,2,3012,2,2.000000
203,3012,2,3012,2,3012,2,2.000000
204,3012,2,3012,2,3012,2,2.000000
205,3012,2,3012,2,3012,1,1.666667
206,3012,2,3012,2,3012,3,2.333333
207,3012,2,3012,2,3012,1,1.666667
208,3012,2,3012,2,3012,3,2.333333
209,3012,1,3012,2,3012,3,2.000000
210,3012,2,3012,2,3012,2,2.000000
211,3012,2,3012,2,3012,2,2.000000
212,3012,2,3012,2,3012,2,2.000000
213,3012,2,3012,2,3012,3,2.333333
214,3012,2,3012,2,3012,2,2.000000
215,3012,2,3012,2,3012,2,2.000000
216,3012,3,3012,2,3012,2,2.333333
217,3012,2,3012,2,3012,2,2.000000
218,3012,2,3012,2,3012,3,2.333333
219,3012,2,3012,2,3012,2,2.000000
220,3137,2,3137,2,3137,2,2.000000
221,3137,2,3137,3,3137,2,2.333333
222,3137,2,3137,2,3137,2,2.000000
223,3137,2,3137,2,3137,2,2.000000
224,3137,3,3137,2,3137,2,2.333333
225,3137,2,3137,2,3137,2,2.000000
226,3137,2,3137,2,3137,3,2.333333
227,3137,2,3137,3,3137,2,2.333333
228,3137,2,3137,3,3137,2,2.333333
229,3137,2,3137,2,3137,2,2.000000
230,3137,2,3137,3,3137,2,2.333333
231,3137,2,3137,2,3137,2,2.000000
232,3137,3,3137,2,3137,2,2.333333
233,3137,3,3137,2,3137,2,2.333333
234,3137,2,3137,3,3137,2,2.333333
235,3137,2,3137,3,3137,2,2.333333
236,3137,2,3137,2,3137,3,2.333333
237,3137,2,3137,3,3137,2,2.333333
238,3137,2,3137,2,3137,3,2.333333
239,3137,2,3137,2,3137,2,2.000000
240,3137,3,3137,2,3137,3,2.666667
241,3137,2,3137,2,3137,2,2.000000
242,3137,3,3137,2,3137,3,2.666667
243,3137,2,3137,2,3137,3,2.333333
244,3137,2,3137,2,3137,3,2.333333
245,3137,2,3137,3,3137,2,2.333333
246,3137,4,3137,2,3137,2,2.666667
247,3137,3,3137,2,3137,2,2.333333
248,3137,3,3137,2,3137,2,2.333333
249,3137,2,3137,3,3137,3,2.666667
250,3137,2,3137,4,3137,2,2.666667
251,3137,3,3137,2,3137,3,2.666667
252,3137,3,3137,3,3137,3,3.000000
253,3137,2,3137,4,3137,3,3.000000
254,3137,2,3137,3,3137,2,2.333333
255,3137,4,3137,2,3137,3,3.000000
256,3137,3,3137,2,3137,3,2.666667
257,3137,3,3137,4,3137,3,3.333333
258,3137,4,3137,3,3137,2,3.000000
259,3137,4,3137,3,3137,3,3.333333
260,3137,3,3137,3,3137,3,3.000000
261,3137,2,3137,3,3137,2,2.333333
262,3137,4,3137,2,3137,3,3.000000
263,3137,3,3137,4,3137,1,2.666667
264,3137,1,3137,2,3137,1,1.333333
265,3137,2,3137,2,3137,2,2.000000
266,3137,2,3137,1,3137,2,1.666667
267,3137,2,3137,1,3137,2,1.666667
268,3162,1,3162,3,3162,3,2.333333
269,3162,3,3162,2,3162,3,2.666667
270,3162,2,3162,4,3162,2,2.666667
271,3162,3,3162,3,3162,3,3.000000
272,3162,2,3162,3,3162,3,2.666667
273,3162,2,3162,3,3162,3,2.666667
274,3162,2,3162,3,3162,2,2.333333
275,3243,3,3243,2,3243,3,2.666667
276,3243,3,3243,2,3243,3,2.666667
277,3243,3,3243,2,3243,3,2.666667
278,3243,3,3243,3,3243,2,2.666667
279,3243,3,3243,2,3243,3,2.666667
280,3243,3,3243,2,3243,3,2.666667
281,3243,3,3243,2,3243,3,2.666667
282,3243,3,3243,3,3243,2,2.666667
283,3243,3,3243,2,3243,3,2.666667
284,3243,3,3243,3,3243,2,2.666667
285,3243,4,3243,3,3243,2,3.000000
286,3243,3,3243,3,3243,2,2.666667
287,3243,4,3243,2,3243,3,3.000000
288,3243,3,3243,2,3243,4,3.000000
289,3243,3,3243,3,3243,3,3.000000
290,3243,2,3243,3,3243,2,2.333333
291,3243,2,3243,1,3243,2,1.666667
292,3243,2,3243,1,3243,2,1.666667
293,3243,2,3243,3,3243,3,2.666667
294,3243,2,3243,3,3243,3,2.666667
295,3243,3,3243,3,3243,3,3.000000
296,3243,3,3243,2,3243,3,2.666667
297,3243,4,3243,3,3243,2,3.000000
298,3243,3,3243,3,3243,3,3.000000
299,3243,3,3243,3,3243,3,3.000000
300,3243,2,3243,3,3243,2,2.333333
301,3243,2,3243,2,3243,2,2.000000
302,3305,1,3305,2,3305,2,1.666667
303,3305,2,3305,2,3305,2,2.000000
304,3305,2,3305,2,3305,2,2.000000
305,3305,2,3305,2,3305,1,1.666667
306,3305,2,3305,3,3305,3,2.666667
307,3305,4,3305,2,3305,3,3.000000
308,3305,3,3305,3,3305,3,3.000000
309,3305,3,3305,3,3305,3,3.000000
310,3305,3,3305,3,3305,3,3.000000
311,3305,3,3305,3,3305,3,3.000000
312,3305,3,3305,3,3305,3,3.000000
313,3305,4,3305,3,3305,3,3.333333
314,3305,2,3305,2,3305,3,2.333333
315,3305,4,3305,3,3305,3,3.333333
316,3305,3,3305,3,3305,4,3.333333
317,3305,3,3305,4,3305,3,3.333333
318,3305,3,3305,3,3305,3,3.000000
319,3305,4,3305,3,3305,4,3.666667
320,3305,4,3305,3,3305,3,3.333333
321,3305,3,3305,4,3305,3,3.333333
322,3305,3,3305,3,3305,3,3.000000
323,3305,4,3305,3,3305,3,3.333333
324,3305,3,3305,3,3305,4,3.333333
325,3305,3,3305,3,3305,3,3.000000
326,3305,4,3305,3,3305,4,3.666667
327,3305,3,3305,3,3305,3,3.000000
328,3305,3,3305,3,3305,3,3.000000
329,3305,3,3305,3,3305,3,3.000000
330,3305,3,3305,3,3305,3,3.000000
331,3305,3,3305,3,3305,4,3.333333
332,3305,3,3305,3,3305,3,3.000000
333,3305,4,3305,3,3305,3,3.333333
334,3305,3,3305,3,3305,4,3.333333
335,3305,3,3305,3,3305,3,3.000000
336,3305,4,3305,3,3305,3,3.333333
337,3305,3,3305,3,3305,4,3.333333
338,3305,3,3305,3,3305,3,3.000000
339,3305,4,3305,3,3305,4,3.666667
340,3305,3,3305,3,3305,3,3.000000
341,3305,4,3305,4,3305,3,3.666667
342,3305,3,3305,3,3305,4,3.333333
343,3305,3,3305,3,3305,3,3.000000
344,3305,4,3305,4,3305,3,3.666667
345,3305,3,3305,3,3305,3,3.000000
346,3305,4,3305,3,3305,4,3.666667
347,3305,3,3305,3,3305,4,3.333333
348,3305,4,3305,4,3305,3,3.666667
349,3308,4,3308,4,3308,3,3.666667
350,3308,3,3308,4,3308,3,3.333333
351,3308,4,3308,3,3308,4,3.666667
352,3308,3,3308,3,3308,4,3.333333
353,3308,4,3308,3,3308,3,3.333333
354,3308,4,3308,3,3308,4,3.666667
355,3308,3,3308,3,3308,4,3.333333
356,3308,4,3308,3,3308,3,3.333333
357,3308,4,3308,3,3308,4,3.666667
358,3308,4,3308,3,3308,3,3.333333
359,3308,4,3308,4,3308,3,3.666667
360,3308,4,3308,3,3308,3,3.333333
361,3308,4,3308,4,3308,3,3.666667
362,3308,4,3308,3,3308,4,3.666667
363,3308,3,3308,4,3308,3,3.333333
364,3308,4,3308,3,3308,4,3.666667
365,3308,3,3308,4,3308,3,3.333333
366,3308,4,3308,3,3308,4,3.666667
367,3308,3,3308,3,3308,4,3.333333
368,3308,3,3308,4,3308,3,3.333333
369,3308,4,3308,4,3308,4,4.000000
370,3308,3,3308,4,3308,3,3.333333
371,3308,4,3308,4,3308,3,3.666667
372,3308,4,3308,4,3308,4,4.000000
373,3308,4,3308,3,3308,4,3.666667
