n,value1,time1,value2,time2,value3,time3,averageTime
100,2103,4,2103,1,2103,3,2.666667
101,2103,1,2103,4,2103,1,2.000000
102,2103,1,2103,0,2103,1,0.666667
103,2103,1,2103,1,2103,1,1.000000
104,2103,0,2103,1,2103,1,0.666667
105,2103,0,2103,1,2103,1,0.666667
106,2103,1,2103,1,2103,0,0.666667
107,2103,2,2103,1,2103,0,1.000000
108,2103,1,2103,1,2103,1,1.000000
109,2103,1,2103,2,2103,1,1.333333
110,2103,1,2103,1,2103,1,1.000000
111,2103,1,2103,1,2103,1,1.000000
112,2103,1,2103,2,2103,1,1.333333
113,2103,1,2103,2,2103,1,1.333333
114,2103,1,2103,1,2103,1,1.000000
115,2103,1,2103,1,2103,2,1.333333
116,2103,1,2103,1,2103,2,1.333333
117,2103,1,2103,1,2103,2,1.333333
118,2103,1,2103,1,2103,1,1.000000
119,2103,1,2103,1,2103,0,0.666667
120,2103,1,2103,1,2103,1,1.000000
121,2103,1,2103,0,2103,1,0.666667
122,2103,1,2103,1,2103,0,0.666667
123,2103,2,2103,1,2103,2,1.666667
124,2103,1,2103,1,2103,1,1.000000
125,2103,1,2103,2,2103,1,1.333333
126,2103,1,2103,1,2103,1,1.000000
127,2103,1,2103,2,2103,1,1.333333
128,2103,1,2103,2,2103,2,1.666667
129,2103,1,2103,1,2103,2,1.333333
130,2103,1,2103,2,2103,2,1.666667
131,2103,1,2103,2,2103,1,1.333333
132,2103,2,2103,1,2103,1,1.333333
133,2103,1,2103,2,2103,1,1.333333
134,2103,2,2103,1,2103,2,1.666667
135,2103,3,2103,2,2103,1,2.000000
136,2103,2,2103,1,2103,1,1.333333
137,2103,2,2103,1,2103,1,1.333333
138,2103,2,2103,1,2103,2,1.666667
139,2103,1,2103,1,2103,2,1.333333
140,2103,1,2103,2,2103,1,1.333333
141,2119,1,2119,2,2119,1,1.333333
142,2119,2,2119,1,2119,2,1.666667
143,2119,1,2119,1,2119,1,1.000000
144,2119,1,2119,1,2119,1,1.000000
145,2119,1,2119,1,2119,1,1.000000
146,2119,0,2119,2,2119,1,1.000000
147,2119,2,2119,1,2119,2,1.666667
148,2399,1,2399,2,2399,1,1.333333
149,2399,2,2399,1,2399,1,1.333333
150,2434,2,2434,2,2434,2,2.000000
151,2434,1,2434,2,2434,1,1.333333
152,2434,2,2434,1,2434,2,1.666667
153,2434,1,2434,2,2434,2,1.666667
154,2472,2,2472,1,2472,3,2.000000
155,2472,1,2472,1,2472,2,1.333333
156,2472,2,2472,1,2472,1,1.333333
157,2487,2,2487,2,2487,2,2.000000
158,2487,1,2487,1,2487,2,1.333333
159,2487,2,2487,1,2487,2,1.666667
160,2487,1,2487,2,2487,2,1.666667
161,2487,1,2487,2,2487,1,1.333333
162,2487,2,2487,1,2487,2,1.666667
163,2487,1,2487,2,2487,2,1.666667
164,2487,1,2487,2,2487,1,1.333333
165,2487,2,2487,1,2487,2,1.666667
166,2487,1,2487,2,2487,2,1.666667
167,2487,1,2487,2,2487,2,1.666667
168,2487,1,2487,2,2487,1,1.333333
169,2487,2,2487,1,2487,2,1.666667
170,2646,2,2646,2,2646,1,1.666667
171,2646,2,2646,2,2646,1,1.666667
172,2646,2,2646,1,2646,2,1.666667
173,2646,1,2646,2,2646,2,1.666667
174,2646,1,2646,2,2646,2,1.666667
175,2646,1,2646,2,2646,2,1.666667
176,2646,1,2646,2,2646,1,1.333333
177,2646,2,2646,2,2646,1,1.666667
178,2646,2,2646,1,2646,1,1.333333
179,2646,1,2646,1,2646,1,1.000000
180,2798,1,2798,1,2798,1,1.000000
181,2798,1,2798,1,2798,1,1.000000
182,2798,1,2798,1,2798,1,1.000000
183,2798,2,2798,2,2798,2,2.000000
184,2798,1,2798,2,2798,2,1.666667
185,2798,2,2798,1,2798,2,1.666667
186,2798,2,2798,2,2798,2,2.000000
187,2798,2,2798,2,2798,2,2.000000
188,2798,2,2798,2,2798,2,2.000000
189,2798,2,2798,2,2798,2,2.000000
190,2798,1,2798,2,2798,2,1.666667
191,2798,2,2798,2,2798,1,1.666667
192,2798,2,2798,2,2798,2,2.000000
193,2798,2,2798,2,2798,1,1.666667
194,2798,2,2798,2,2798,2,2.000000
195,2798,2,2798,2,2798,2,2.000000
196,2798,2,2798,1,2798,2,1.666667
197,2798,2,2798,2,2798,2,2.000000
198,2798,2,2798,2,2798,2,2.000000
199,3100,2,3100,1,3100,2,1.666667
200,3100,2,3100,2,3100,3,2.333333
201,3100,2,3100,2,3100,2,2.000000
202,3100,1,3100,3,3100,2,2.000000
203,3100,3,3100,4,3100,4,3.666667
204,3100,3,3100,4,3100,7,4.666667
205,3100,3,3100,2,3100,3,2.666667
206,3100,2,3100,2,3100,3,2.333333
207,3100,2,3100,2,3100,2,2.000000
208,3100,2,3100,2,3100,2,2.000000
209,3100,2,3100,4,3100,3,3.000000
210,3155,3,3155,3,3155,3,3.000000
211,3155,3,3155,2,3155,2,2.333333
212,3155,2,3155,2,3155,2,2.000000
213,3155,2,3155,4,3155,2,2.666667
214,3155,2,3155,2,3155,2,2.000000
215,3155,2,3155,2,3155,2,2.000000
216,3155,3,3155,2,3155,2,2.333333
217,3155,2,3155,2,3155,2,2.000000
218,3155,2,3155,2,3155,3,2.333333
219,3155,2,3155,2,3155,2,2.000000
220,3155,1,3155,1,3155,2,1.333333
221,3155,3,3155,3,3155,2,2.666667
222,3155,2,3155,2,3155,2,2.000000
223,3155,2,3155,2,3155,3,2.333333
224,3155,2,3155,2,3155,2,2.000000
225,3155,2,3155,2,3155,2,2.000000
226,3155,3,3155,2,3155,3,2.666667
227,3155,2,3155,2,3155,2,2.000000
228,3155,2,3155,2,3155,2,2.000000
229,3155,3,3155,2,3155,2,2.333333
230,3155,3,3155,2,3155,2,2.333333
231,3155,2,3155,3,3155,2,2.333333
232,3155,2,3155,3,3155,2,2.333333
233,3155,2,3155,3,3155,3,2.666667
234,3155,2,3155,3,3155,3,2.666667
235,3155,2,3155,2,3155,3,2.333333
236,3155,2,3155,2,3155,3,2.333333
237,3155,2,3155,2,3155,3,2.333333
238,3155,2,3155,3,3155,2,2.333333
239,3155,2,3155,2,3155,3,2.333333
240,3155,2,3155,3,3155,2,2.333333
241,3155,3,3155,2,3155,2,2.333333
242,3155,2,3155,2,3155,4,2.666667
243,3155,2,3155,2,3155,3,2.333333
244,3155,2,3155,2,3155,2,2.000000
245,3155,3,3155,3,3155,2,2.666667
246,3155,2,3155,2,3155,2,2.000000
247,3155,3,3155,3,3155,2,2.666667
248,3155,3,3155,2,3155,2,2.333333
249,3155,2,3155,3,3155,3,2.666667
250,3155,2,3155,3,3155,2,2.333333
251,3155,2,3155,2,3155,3,2.333333
252,3155,3,3155,2,3155,3,2.666667
253,3155,2,3155,2,3155,3,2.333333
254,3155,2,3155,3,3155,2,2.333333
255,3155,3,3155,2,3155,3,2.666667
256,3155,2,3155,3,3155,2,2.333333
257,3155,3,3155,3,3155,2,2.666667
258,3155,2,3155,3,3155,3,2.666667
259,3155,3,3155,2,3155,3,2.666667
260,3155,2,3155,2,3155,3,2.333333
261,3155,2,3155,3,3155,2,2.333333
262,3155,3,3155,2,3155,3,2.666667
263,3155,2,3155,3,3155,2,2.333333
264,3155,2,3155,3,3155,2,2.333333
265,3155,3,3155,2,3155,3,2.666667
266,3155,2,3155,2,3155,3,2.333333
267,3155,3,3155,2,3155,3,2.666667
268,3155,2,3155,2,3155,3,2.333333
269,3155,3,3155,2,3155,3,2.666667
270,3155,2,3155,2,3155,3,2.333333
271,3155,2,3155,4,3155,2,2.666667
272,3155,3,3155,2,3155,2,2.333333
273,3155,3,3155,3,3155,2,2.666667
274,3155,3,3155,2,3155,3,2.666667
275,3155,2,3155,3,3155,2,2.333333
276,3155,3,3155,2,3155,3,2.666667
277,3155,2,3155,3,3155,3,2.666667
278,3155,2,3155,3,3155,2,2.333333
279,3155,3,3155,2,3155,4,3.000000
280,3155,3,3155,3,3155,2,2.666667
281,3155,3,3155,3,3155,2,2.666667
282,3155,3,3155,2,3155,3,2.666667
283,3155,3,3155,2,3155,3,2.666667
284,3155,2,3155,3,3155,3,2.666667
285,3155,3,3155,3,3155,2,2.666667
286,3155,3,3155,2,3155,3,2.666667
287,3155,3,3155,3,3155,2,2.666667
288,3155,3,3155,3,3155,3,3.000000
289,3155,3,3155,3,3155,2,2.666667
290,3155,3,3155,2,3155,3,2.666667
291,3155,3,3155,3,3155,3,3.000000
292,3155,3,3155,2,3155,2,2.333333
293,3155,2,3155,1,3155,2,1.666667
294,3155,2,3155,1,3155,2,1.666667
295,3155,2,3155,2,3155,2,2.000000
296,3155,1,3155,2,3155,2,1.666667
297,3155,2,3155,1,3155,2,1.666667
298,3155,2,3155,2,3155,1,1.666667
299,3155,3,3155,1,3155,2,2.000000
300,3155,2,3155,1,3155,2,1.666667
301,3155,3,3155,2,3155,1,2.000000
302,3155,2,3155,2,3155,2,2.000000
303,3155,3,3155,2,3155,5,3.333333
304,3155,5,3155,5,3155,3,4.333333
305,3155,4,3155,3,3155,4,3.666667
306,3155,2,3155,2,3155,1,1.666667
307,3155,2,3155,2,3155,2,2.000000
308,3155,5,3155,3,3155,3,3.666667
309,3155,4,3155,5,3155,6,5.000000
310,3155,5,3155,4,3155,4,4.333333
311,3155,3,3155,3,3155,3,3.000000
312,3155,4,3155,4,3155,2,3.333333
313,3155,4,3155,4,3155,5,4.333333
314,3155,4,3155,4,3155,8,5.333333
315,3155,5,3155,5,3155,6,5.333333
316,3155,5,3155,3,3155,4,4.000000
317,3155,5,3155,3,3155,3,3.666667
318,3155,3,3155,2,3155,3,2.666667
319,3155,4,3155,3,3155,3,3.333333
320,3155,3,3155,4,3155,4,3.666667
321,3155,3,3155,3,3155,3,3.000000
322,3155,3,3155,4,3155,3,3.333333
323,3155,3,3155,3,3155,3,3.000000
324,3155,3,3155,3,3155,3,3.000000
325,3155,3,3155,3,3155,3,3.000000
326,3155,3,3155,3,3155,3,3.000000
327,3155,4,3155,3,3155,3,3.333333
328,3155,3,3155,3,3155,3,3.000000
329,3155,3,3155,3,3155,3,3.000000
330,3155,3,3155,3,3155,3,3.000000
331,3155,4,3155,3,3155,3,3.333333
332,3155,4,3155,3,3155,4,3.666667
333,3155,3,3155,4,3155,3,3.333333
334,3155,3,3155,3,3155,4,3.333333
335,3155,3,3155,3,3155,3,3.000000
336,3155,4,3155,3,3155,3,3.333333
337,3155,4,3155,3,3155,3,3.333333
338,3155,3,3155,4,3155,3,3.333333
339,3155,3,3155,3,3155,3,3.000000
340,3155,4,3155,3,3155,3,3.333333
341,3155,3,3155,3,3155,4,3.333333
342,3155,3,3155,3,3155,4,3.333333
343,3155,3,3155,3,3155,3,3.000000
344,3155,3,3155,4,3155,3,3.333333
345,3155,4,3155,3,3155,3,3.333333
346,3155,3,3155,4,3155,3,3.333333
347,3155,3,3155,3,3155,4,3.333333
348,3155,4,3155,3,3155,3,3.333333
349,3155,3,3155,4,3155,3,3.333333
350,3155,3,3155,4,3155,3,3.333333
351,3155,4,3155,3,3155,4,3.666667
352,3155,4,3155,3,3155,5,4.000000
353,3155,3,3155,4,3155,4,3.666667
354,3155,3,3155,4,3155,3,3.333333
355,3155,4,3155,4,3155,3,3.666667
356,3155,4,3155,4,3155,4,4.000000
357,3155,3,3155,4,3155,4,3.666667
358,3155,4,3155,3,3155,4,3.666667
359,3155,4,3155,4,3155,4,4.000000
360,3155,3,3155,4,3155,3,3.333333
